id,author,title,image_url,small_image_url,price,books_count,isbn,isbn13,original_publication_year,original_title,language_code,average_rating
61,Paula Hawkins,The Girl on the Train,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg,2770,14,1594633665,9781594633670,2015,The Girl on the Train,eng,3.88
62,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg,2334,287,679879242,9780679879240,1995,Northern Lights,eng,3.94
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1780,2498,393978893,9780393978900,1847,Wuthering Heights,eng,3.82
64,Jodi Picoult,My Sister's Keeper,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg,2131,125,743454537,9780743454540,2004,My Sister's Keeper,eng,4.06
65,Kurt Vonnegut Jr.,Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg,1346,241,385333846,9780385333850,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng,4.06
66,Margaret Mitchell,Gone with the Wind,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg,690,409,446675539,9780446675540,1936,Gone with the Wind,eng,4.28
67,Khaled Hosseini,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg,2414,197,1594489505,9781594489500,2007,A Thousand Splendid Suns,eng,4.34
68,Stephen Chbosky,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg,2695,128,671027344,9780671027350,1999,The Perks of Being a Wallflower,eng,4.21
69,Veronica Roth,"Insurgent (Divergent, #2)",https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg,3217,164,7442912,9780007442910,2012,Insurgent,eng,4.07
70,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg,3404,224,812550706,9780812550700,1985,Ender's Game,eng,4.3
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg,3260,2618,141439475,9780141439470,1818,"Frankenstein; or, The Modern Prometheus",eng,3.75
72,Stephen King,The Shining (The Shining #1),https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg,797,289,450040186,9780450040180,1977,The Shining,eng,4.17
73,Stephenie Meyer,"The Host (The Host, #1)",https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg,195,161,316068047,9780316068050,2008,The Host,en-US,3.84
74,John Green,Looking for Alaska,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg,1330,187,142402516,9780142402510,2005,Looking for Alaska,eng,4.09
75,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg,2579,193,014028009X,9780140280100,1996,,eng,3.75
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg,1079,1969,141439661,9780141439660,1811,Sense and Sensibility,eng,4.06
77,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg,3811,138,439244196,9780439244190,1998,Holes,eng,3.93
78,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,87,129,307275558,9780307275550,2003,The Devil Wears Prada,eng,3.7
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg,3156,1703,143039954,9780143039950,-720,Ὀδύσσεια,eng,3.73
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg,3696,1708,156012197,9780156012200,1946,Le Petit Prince,eng,4.28
81,Jeannette Walls,The Glass Castle,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg,3029,92,074324754X,9780743247540,2005,The Glass Castle,eng,4.24
82,Jon Krakauer,Into the Wild,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg,2356,108,385486804,9780385486800,1996,Into the Wild,eng,3.94
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg,2776,525,141439602,9780141439600,1859,A Tale of Two Cities,eng,3.81
84,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,469,176,030734813X,9780307348140,1990,Jurassic Park,spa,3.96
85,Shel Silverstein,The Giving Tree,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg,3590,81,60256656,9780060256650,1964,The Giving Tree,eng,4.38
86,John Grisham,A Time to Kill,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,845,158,385338600,9780385338610,1989,A Time to Kill,eng,4.03
87,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285s/1617.jpg,2951,109,374500010,9780374500020,1958,Un di Velt Hot Geshvign,eng,4.3
88,John Green,Paper Towns,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610s/6442769.jpg,3792,178,014241493X,9780142414930,2008,Paper Towns,en-US,3.88
89,William Goldman,The Princess Bride,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg,1257,129,345418263,9780345418260,1973,The Princess Bride,en-US,4.25
90,S.E. Hinton,The Outsiders,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg,1753,156,014038572X,9780140385720,1967,The Outsiders,en-US,4.06
91,James Dashner,"The Maze Runner (Maze Runner, #1)",https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592s/6186357.jpg,70,147,385737947,9780385737940,2009,The Maze Runner,eng,4.02
92,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",https://images.gr-assets.com/books/1327909092m/1202.jpg,https://images.gr-assets.com/books/1327909092s/1202.jpg,3760,124,61234001,9780061234000,2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US,3.93
93,Frances Hodgson Burnett,The Secret Garden,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg,342,1350,517189607,9780517189600,1911,The Secret Garden,eng,4.12
94,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg,992,555,60531045,9780060531040,1967,Cien años de soledad,eng,4.04
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg,526,2303,375751513,9780375751520,1891,The Picture of Dorian Gray,eng,4.06
96,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",https://images.gr-assets.com/books/1336418837m/13536860.jpg,https://images.gr-assets.com/books/1336418837s/13536860.jpg,1638,133,345803507,9780345803500,2012,Fifty Shades Freed,eng,3.88
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg,2633,2207,393970124,9780393970130,1897,Dracula,eng,3.98
98,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",https://images.gr-assets.com/books/1351778881m/5060378.jpg,https://images.gr-assets.com/books/1351778881s/5060378.jpg,718,209,307269981,9780307269980,2006,Flickan som lekte med elden,eng,4.22
99,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080s/11857408.jpg,163,147,1612130585,9781612130580,2011,Fifty Shades Darker,eng,3.87
100,Barbara Kingsolver,The Poisonwood Bible,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487s/7244.jpg,2968,39,60786507,9780060786500,1998,The Poisonwood Bible,eng,4.02
101,David Sedaris,Me Talk Pretty One Day,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3049,59,349113912,9780349113910,2000,Me Talk Pretty One Day,eng,3.97
102,Maurice Sendak,Where the Wild Things Are,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560s/19543.jpg,1095,110,99408392,9780099408390,1963,Where the Wild Things Are,eng,4.22
103,"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg,3330,1310,140449264,9780140449270,1844,Le Comte de Monte-Cristo,eng,4.21
104,Cormac McCarthy,The Road,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg,3809,181,307265439,9780307265430,2006,The Road,eng,3.95
105,Veronica Roth,"Allegiant (Divergent, #3)",https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745s/18710190.jpg,2333,153,7524277,9780007524270,2013,Allegiant,eng,3.63
106,Tina Fey,Bossypants,https://images.gr-assets.com/books/1481509554m/9418327.jpg,https://images.gr-assets.com/books/1481509554s/9418327.jpg,585,48,897890,9780007526190,2011,Bossypants,eng,3.94
107,Nicholas Sparks,A Walk to Remember,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg,2479,131,446693804,9780446693810,1999,A Walk to Remember,en-US,4.15
108,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg,3732,144,440241413,9780440241420,2000,Confessions of a Shopaholic,eng,3.61
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,https://images.gr-assets.com/books/1411852091m/24280.jpg,https://images.gr-assets.com/books/1411852091s/24280.jpg,2503,1319,451525264,9780451525260,1862,Les Misérables,eng,4.14
110,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg,256,202,553381695,9780553381700,1998,A Clash of Kings,eng,4.4
111,Kim Edwards,The Memory Keeper's Daughter,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,170,98,143037145,9780143037150,2005,The Memory Keeper's Daughter,eng,3.64
112,Jojo Moyes,"Me Before You (Me Before You, #1)",https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg,497,168,670026603,9780670026610,2012,Me Before You,eng,4.27
113,Joseph Heller,Catch-22,https://images.gr-assets.com/books/1463157317m/168668.jpg,https://images.gr-assets.com/books/1463157317s/168668.jpg,2041,251,684833395,9780684833390,1961,Catch-22,en-US,3.98
114,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,https://images.gr-assets.com/books/1423763749m/6900.jpg,https://images.gr-assets.com/books/1423763749s/6900.jpg,3504,172,751529818,9780751529810,1997,Tuesdays with Morrie,eng,4.06
115,Jeffrey Eugenides,Middlesex,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg,3189,125,312422156,9780312422160,2002,Middlesex,en-US,3.98
116,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg,706,2448,143039563,9780143039560,1876,The Adventures of Tom Sawyer,eng,3.89
117,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg,993,165,440498058,9780440498060,1962,A Wrinkle in Time,en-US,4.04
118,Amy Tan,The Joy Luck Club,https://images.gr-assets.com/books/1304978653m/7763.jpg,https://images.gr-assets.com/books/1304978653s/7763.jpg,561,126,143038095,9780143038090,1989,The Joy Luck Club,eng,3.9
119,Margaret Atwood,The Handmaid's Tale,https://images.gr-assets.com/books/1498057733m/38447.jpg,https://images.gr-assets.com/books/1498057733s/38447.jpg,2610,236,038549081X,9780385490820,1985,The Handmaid's Tale,eng,4.06
120,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",https://images.gr-assets.com/books/1461611233m/452306.jpg,https://images.gr-assets.com/books/1461611233s/452306.jpg,2296,93,385729332,9780385729340,2001,The Sisterhood of the Traveling Pants,eng,3.75
121,"Vladimir Nabokov, Craig Raine",Lolita,https://images.gr-assets.com/books/1377756377m/7604.jpg,https://images.gr-assets.com/books/1377756377s/7604.jpg,632,370,385720832,9780385720840,1955,Lolita,eng,3.88
122,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",https://images.gr-assets.com/books/1437733293m/37442.jpg,https://images.gr-assets.com/books/1437733293s/37442.jpg,2348,80,60987103,9780060987110,1995,Wicked: The Life and Times of the Wicked Witch of the West,eng,3.52
123,John Grisham,"The Firm (Penguin Readers, Level 5)",https://images.gr-assets.com/books/1418465200m/5358.jpg,https://images.gr-assets.com/books/1418465200s/5358.jpg,1264,11,582418275,9780582418270,1991,The Firm,eng,3.99
124,Emma Donoghue,Room,https://images.gr-assets.com/books/1344265419m/7937843.jpg,https://images.gr-assets.com/books/1344265419s/7937843.jpg,168,151,316098337,9780316098340,2010,Room,eng,4.03
125,"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg,1428,1929,521618746,9780521618750,1600,"The Tragicall Historie of Hamlet, Prince of Denmark",eng,4
126,Frank Herbert,Dune (Dune Chronicles #1),https://images.gr-assets.com/books/1434908555m/234225.jpg,https://images.gr-assets.com/books/1434908555s/234225.jpg,771,241,340839937,9780340839940,1965,Dune,eng,4.19
127,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,https://images.gr-assets.com/books/1473396980m/2612.jpg,https://images.gr-assets.com/books/1473396980s/2612.jpg,3298,100,316346624,9780316346630,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92
128,Walter Isaacson,Steve Jobs,https://images.gr-assets.com/books/1327861368m/11084145.jpg,https://images.gr-assets.com/books/1327861368s/11084145.jpg,3821,190,1451648537,9781451648540,2011,Steve Jobs,eng,4.09
129,Ken Kesey,One Flew Over the Cuckoo's Nest,https://images.gr-assets.com/books/1485308778m/332613.jpg,https://images.gr-assets.com/books/1485308778s/332613.jpg,3506,275,451163966,9780451163970,1962,One Flew Over the Cuckoo's Nest,eng,4.18
130,Ernest Hemingway,The Old Man and the Sea,https://images.gr-assets.com/books/1329189714m/2165.jpg,https://images.gr-assets.com/books/1329189714s/2165.jpg,1570,666,684830493,9780684830490,1952,The Old Man and the Sea,eng,3.73
131,John Steinbeck,The Grapes of Wrath,https://images.gr-assets.com/books/1352912927m/4395.jpg,https://images.gr-assets.com/books/1352912927s/4395.jpg,1510,381,142000663,9780142000660,1939,The Grapes of Wrath,eng,3.92
132,Mitch Albom,The Five People You Meet in Heaven,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1460,123,1401308589,9781401308580,2003,The Five People You Meet in Heaven,,3.9
133,L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3455,1314,451528824,9780451528830,1908,Anne of Green Gables,eng,4.23
134,Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",https://images.gr-assets.com/books/1369452339m/3777732.jpg,https://images.gr-assets.com/books/1369452339s/3777732.jpg,1702,122,1416914307,9781416914300,2009,City of Glass,en-US,4.34
135,George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",https://images.gr-assets.com/books/1497931121m/62291.jpg,https://images.gr-assets.com/books/1497931121s/62291.jpg,3685,175,055357342X,9780553573430,2000,A Storm of Swords,eng,4.54
136,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,https://images.gr-assets.com/books/1408313524m/137791.jpg,https://images.gr-assets.com/books/1408313524s/137791.jpg,3589,75,006075995X,9780060759960,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79
137,Diana Gabaldon,"Outlander (Outlander, #1)",https://images.gr-assets.com/books/1402600310m/10964.jpg,https://images.gr-assets.com/books/1402600310s/10964.jpg,3791,189,440242940,9780440242950,1991,Outlander,eng,4.2
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,https://images.gr-assets.com/books/1404810944m/12296.jpg,https://images.gr-assets.com/books/1404810944s/12296.jpg,1136,1579,142437263,9780142437260,1850,The Scarlet Letter,eng,3.37
139,Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",https://images.gr-assets.com/books/1472782916m/9460487.jpg,https://images.gr-assets.com/books/1472782916s/9460487.jpg,1645,155,1594744769,9781594744760,2011,Miss Peregrine’s Home for Peculiar Children,en-US,3.89
140,"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://images.gr-assets.com/books/1327708260m/6892870.jpg,https://images.gr-assets.com/books/1327708260s/6892870.jpg,3950,193,030726999X,9780307270000,2007,Luftslottet som sprängdes,en-US,4.2
141,Andy Weir,The Martian,https://images.gr-assets.com/books/1413706054m/18007564.jpg,https://images.gr-assets.com/books/1413706054s/18007564.jpg,3740,148,804139024,9780804139020,2012,The Martian,eng,4.39
142,Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3343,255,451207149,9780451207140,1989,The Pillars of the Earth,eng,4.29
143,Anthony Doerr,All the Light We Cannot See,https://images.gr-assets.com/books/1451445646m/18143977.jpg,https://images.gr-assets.com/books/1451445646s/18143977.jpg,3887,139,1476746583,9781476746590,2014,,eng,4.31
144,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",https://images.gr-assets.com/books/1327861115m/8664353.jpg,https://images.gr-assets.com/books/1327861115s/8664353.jpg,1148,16,1400064163,9781400064170,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4
145,Dan Brown,Deception Point,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,259,180,671027387,9780671027380,2001,Deception Point,eng,3.67
146,Donna Tartt,The Goldfinch,https://images.gr-assets.com/books/1451554970m/17333223.jpg,https://images.gr-assets.com/books/1451554970s/17333223.jpg,3057,108,316055433,9780316055440,2013,The Goldfinch,eng,3.87
147,Jay Asher,Thirteen Reasons Why,https://images.gr-assets.com/books/1333822506m/1217100.jpg,https://images.gr-assets.com/books/1333822506s/1217100.jpg,2809,150,1595141715,9781595141710,2007,Thirteen Reasons Why,eng,4.02
148,Tracy Chevalier,Girl with a Pearl Earring,https://images.gr-assets.com/books/1327197580m/2865.jpg,https://images.gr-assets.com/books/1327197580s/2865.jpg,500,169,452287022,9780452287020,1999,Girl with a Pearl Earring,eng,3.85
149,Gayle Forman,"If I Stay (If I Stay, #1)",https://images.gr-assets.com/books/1347462970m/4374400.jpg,https://images.gr-assets.com/books/1347462970s/4374400.jpg,2536,130,525421033,9780525421030,2009,If I Stay,en-US,3.96
150,Anita Diamant,The Red Tent,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2343,80,312353766,9780312353770,1997,The Red Tent,en-US,4.16
151,Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://images.gr-assets.com/books/1400602661m/28186.jpg,https://images.gr-assets.com/books/1400602661s/28186.jpg,2465,121,786856866,9780786856860,2006,The Sea of Monsters,eng,4.23
152,Nicholas Sparks,Dear John,https://images.gr-assets.com/books/1397749854m/5526.jpg,https://images.gr-assets.com/books/1397749854s/5526.jpg,113,111,446528056,9780446528050,2006,Dear John,en-US,4.01
153,Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",https://images.gr-assets.com/books/1432730356m/1582996.jpg,https://images.gr-assets.com/books/1432730356s/1582996.jpg,3197,125,1416914293,9781416914300,2008,City of Ashes,eng,4.21
154,William Shakespeare,Macbeth,https://images.gr-assets.com/books/1459795224m/8852.jpg,https://images.gr-assets.com/books/1459795224s/8852.jpg,2249,1732,743477103,9780743477110,1606,The Tragedy of Macbeth,eng,3.88
155,J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)",https://images.gr-assets.com/books/1298415523m/15241.jpg,https://images.gr-assets.com/books/1298415523s/15241.jpg,944,453,618346260,9780618346260,1954,The Two Towers,en-US,4.42
156,Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)",https://images.gr-assets.com/books/1305063535m/42156.jpg,https://images.gr-assets.com/books/1305063535s/42156.jpg,2423,65,031232118X,9780312321180,2004,Something Borrowed,eng,3.83
157,"Dr. Seuss, לאה נאור",Green Eggs and Ham,https://images.gr-assets.com/books/1468680100m/23772.jpg,https://images.gr-assets.com/books/1468680100s/23772.jpg,3824,72,394800168,9780394800160,1960,Green Eggs and Ham,en-US,4.29
158,"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)",https://images.gr-assets.com/books/1309211401m/6310.jpg,https://images.gr-assets.com/books/1309211401s/6310.jpg,3484,338,142403881,9780142403880,1964,Charlie and the Chocolate Factory,eng,4.1
159,Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",https://images.gr-assets.com/books/1443142158m/2120932.jpg,https://images.gr-assets.com/books/1443142158s/2120932.jpg,3566,92,1423101464,9781423101470,2008,The Battle of the Labyrinth,eng,4.39
160,Charles Dickens,Great Expectations,https://images.gr-assets.com/books/1327920219m/2623.jpg,https://images.gr-assets.com/books/1327920219s/2623.jpg,3297,1725,192833596,9780192833590,1860,Great Expectations,eng,3.75
161,J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)",https://images.gr-assets.com/books/1389977161m/18512.jpg,https://images.gr-assets.com/books/1389977161s/18512.jpg,213,470,345339738,9780345339740,1955,The Return of the King,en-US,4.51
162,"Albert Camus, Matthew    Ward",The Stranger,https://images.gr-assets.com/books/1349927872m/49552.jpg,https://images.gr-assets.com/books/1349927872s/49552.jpg,3489,675,346639738,9780310339740,1942,L’Étranger,eng,3.96
